name,event,distance,stroke,course,gender,time_(string),time_(seconds),time_(HH:MM:SS),date,season,team,meet,birth_date,event_id
Margo Geer,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.53,21.53,0 days 00:00:21.530000,2014-03-20,2014.0,University of Arizona,2014 NCAA DI - Women,1992-03-17,1
Olivia Smoliga,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.54,21.54,0 days 00:00:21.540000,2014-02-18,2014.0,University of Georgia,2014 SEC Champs,1994-10-12,1
Ivy Martin,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.58,21.58,0 days 00:00:21.580000,2014-02-19,2014.0,University of Wisconsin Madison,2014 B1G 10 Champs women,1993-07-29,1
Kasey Carlson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.63,21.63,0 days 00:00:21.630000,2014-03-20,2014.0,University of Southern California,2014 NCAA DI - Women,1991-11-26,1
Natalie Hinds,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.66,21.66,0 days 00:00:21.660000,2014-03-20,2014.0,University of Florida,2014 NCAA DI - Women,1993-12-07,1
Madeline Locus,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.67,21.67,0 days 00:00:21.670000,2014-02-18,2014.0,University of Georgia,2014 SEC Champs,1993-07-29,1
Anika Apostalon,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.76,21.76,0 days 00:00:21.760000,2014-02-19,2014.0,San Diego State University,2014 MW Champs,1995-02-09,1
Madeline Schaefer,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.78,21.78,0 days 00:00:21.780000,2013-11-21,2014.0,Stanford University,Art Adamson Invitational,1993-08-04,1
Faith Johnson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.84,21.84,0 days 00:00:21.840000,2014-02-18,2014.0,University of Tennessee,2014 SEC Champs,1994-10-06,1
Erica Dittmer,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.98,21.98,0 days 00:00:21.980000,2014-02-18,2014.0,Texas A&M University,2014 SEC Champs,1991-09-15,1
Lia Neal,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.98,21.98,0 days 00:00:21.980000,2014-03-20,2014.0,Stanford University,2014 NCAA DI - Women,1995-02-13,1
Ellen Lobb,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.99,21.99,0 days 00:00:21.990000,2014-03-20,2014.0,University of Texas,2014 NCAA DI - Women,1992-01-27,1
Tiffany Oliver,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.02,22.02,0 days 00:00:22.020000,2014-02-19,2014.0,Florida State University,2014 ACC Champs women ,1992-08-28,1
Kaylin Bing,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.05,22.05,0 days 00:00:22.050000,2014-03-20,2014.0,University of California Berkeley,2014 NCAA DI - Women,1993-06-09,1
Liliana Ibanez Lopez,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.07,22.07,0 days 00:00:22.070000,2014-03-20,2014.0,Texas A&M University,2014 NCAA DI - Women,1991-01-30,1
Emma Svensson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.09,22.09,0 days 00:00:22.090000,2014-03-20,2014.0,Florida Gulf Coast University,2014 NCAA DI - Women,1992-08-03,1
Bradley Tandy,50 Freestyle SCY Male,50,Freestyle,SCY,Male,18.80,18.8,0 days 00:00:18.800000,2014-03-05,2014.0,University of Arizona,2014 PAC 12 Champs men,1991-05-02,1
Bradley Deborde,50 Freestyle SCY Male,50,Freestyle,SCY,Male,18.86,18.86,0 days 00:00:18.860000,2014-03-27,2014.0,University of Florida,2014 NCAA DI - Men,1992-02-07,1
Kristian Gkolomeev,50 Freestyle SCY Male,50,Freestyle,SCY,Male,18.95,18.95,0 days 00:00:18.950000,2014-03-27,2014.0,University of Alabama,2014 NCAA DI - Men,1993-07-04,1
Derek Toomey,50 Freestyle SCY Male,50,Freestyle,SCY,Male,18.95,18.95,0 days 00:00:18.950000,2014-03-27,2014.0,University of Minnesota,2014 NCAA DI - Men,1991-11-02,1
Seth Stubblefield,50 Freestyle SCY Male,50,Freestyle,SCY,Male,18.97,18.97,0 days 00:00:18.970000,2014-03-27,2014.0,University of California Berkeley,2014 NCAA DI - Men,1993-07-21,1
Marcelo Chierighini,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.04,19.04,0 days 00:00:19.040000,2014-02-19,2014.0,Auburn University,2014 SEC Champs,1991-01-15,1
Paul Murray,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.04,19.04,0 days 00:00:19.040000,2014-02-26,2014.0,Florida State University,2014 ACC Champs Men,1991-10-29,1
John Murray,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.07,19.07,0 days 00:00:19.070000,2014-03-27,2014.0,University of Texas,2014 NCAA DI - Men,1994-04-21,1
